Rondônia;;1,777,225;;;
Acre;;881,935;;;
Amazonas;;4,144,597;;;
Roraima;;605,761;;;
Pará;;8,602,865;;;
Amapá;;845,731;;;
Tocantins;;1,572,866;;;
Maranhão;;7,075,181;;;
Piauí;;3.273.227;;;
Ceará;;9.132.078;;;
Rio Grande do Norte;;3,506,853;;;
Paraíba;;4,018,127;;;
Pernambuco;;9.557.071;;;
Alagoas;;3.337.357;;;
Sergipe;;2.298.696;;;
Bahia;;14.873.064;;;
Minas Gerais;;21,168,791;;;
Espírito Santo;;4,018,650;;;
Rio de Janeiro;;17,264,943;;;
São Paulo;;45,919,049;;;
Paraná;;11,433,957;;;
Santa Catarina;;7,164,788;;;
Rio Grande do Sul;;11,377,239;;;
Mato Grosso do Sul;;2,778,986;;;
Mato Grosso;;3,484,466;;;
Goiás;;7.018.354;;;
Distrito Federal;;3.015.268;;;
;;;;;
